resume;nom;categorie;dateDeSortie;entreprise;noteGen;noteCrea;img;media;son;nominations
Baldur's Gate III est le nouvel opus des jeux de rôle de la série Baldur's Gate, issue de l'univers Donjons et Dragons. Il se déroule avant le premier opus. Vous grandissez du premier au trentième niveau, de Baldur's Gate aux Enfers. Ce RPG reprend le principe de son aîné et propose la création d'un personnage parmi diverses classes, caractéristiques et compétences.;Baldur's Gate III;Aventure;2023-08-03;Larian Studios;17.6;16.5;files/bg3.jpg;null;null;GOTY
Levez-vous, Sans-éclat, et puisse la grâce guider vos pas. Brandissez la puissance du Cercle d'Elden. Devenez Seigneur de l'Entre-terre.Un monde immense aux environnements riches et variés, parsemé d'obscurs et tortueux donjons tous reliés naturellement entre eux, vous attend. Au fil de votre exploration, goûtez à l'inconnu, bravez les menaces permanentes et accomplissez votre destinée.;Elden Ring;Aventure;2022-02-25;FromSoftwareInc.;17.2;17;files/eldenring.jpg;null;null;GOTY
Incarnez V, un mercenaire cyberpunk, et faites tout ce qui est en votre pouvoir pour vous faire un nom à Night City : une mégapole où les seules choses qui comptent sont le pouvoir, le glamour et les modifications corporelles. C'est ici que les légendes s'écrivent. À quoi ressemblera la vôtre ? ;Cyberpunk 2077;Action;2020-12-10;CD PROJEKT RED;17.5;15;files/cyberpunk.jpg;Cyberpunk Edgerunners;null;Game Award
Découvrez le Poudlard des années 1800. Vous y incarnez un élève détenant la clé d'un secret antique qui menace d'anéantir le monde des sorciers. Forgez des alliances, combattez des mages noirs et façonnez le destin du monde des sorciers. Votre héritage vous appartient. Écrivez votre propre histoire.;Hogwarts Legacy;Aventure;2023-02-10;Avalanche Software;15.3;14;files/hogwarts.jpg;Harry Potter;null;null
Amérique, 1899.   Arthur Morgan et la bande de Dutch van der Linde sont en cavale. Les agents fédéraux et les meilleurs chasseurs de primes du pays se mettent à leurs trousses et la bande commet méfaits sur méfaits dans les vastes terres sauvages de l'Amérique dans un seul et unique but : survivre. Alors que des querelles internes menacent de faire voler la bande en éclats, Arthur est tiraillé entre ses propres idéaux et sa loyauté envers la bande qui l'a élevé.;Red Dead Redemption;Aventure;2018-10-26;Rockstar Games;17.1;-1;files/red_dead_redemption_2.jpg;Suite de Red Dead Revolver;null;Game Award
Hitman 3 marque la conclusion de la trilogie World of Assassination. Incarnez l’agent 47, un assassin professionnel impitoyable qui devra entreprendre les contrats les plus importants de toute sa carrière. Quand tout sera fini, l’agent 47 et le monde ne seront plus jamais les mêmes.;Hitman;Action;2021-01-20;IO Interactive A/S;16.8;-1;files/hitman.jpg;Hitman;null;null
Final Fantasy XVI prend place dans le monde de Valisthéa, dont la spécificité est de contenir six cristaux, appelés Cristaux-mères, produisant de l'éther et permettant aux personnes vivant à proximité d'utiliser de la magie. Autour de chaque cristal s'est construit une nation : l'Archiduché de Rosalia, le Saint-Empire de Sangbrèque, le Royaume de Valoed, la République de Dalméquie, le Royaume de Fer et le Dominion du Cristal.;Final Fantasy XVI;Action;2023-06-22;Square Enix;14.2;-1;files/final-fantasy-xvi.jpg;null;null;null
Overwatch 2 est la suite du Hero Shooter de Blizzard. Le titre prolonge l'expérience PvP du jeu tout en y ajoutant une nouvelle dimension PvE sous forme de missions scénarisées et de contenus en coopération rejouables. Dans ces modes joueurs contre l'environnement, des points de talent font leur apparition et permettent de modifier le gameplay des différents héros du jeu.;Overwatch 2;Action;2022-10-04;Blizzard Entertainment, Inc.;8.3;14;files/overwatch2.jpg;null;null;null
Lorsqu'un jeune arnaqueur, un braqueur de banque à la retraite et un terrifiant psychopathe se retrouvent piégés par de grands criminels, le gouvernement américain et l'industrie du divertissement, ils décident de se lancer dans une série de braquages pour survivre dans une ville sans pitié, où ils ne peuvent se fier à personne, même entre eux.;GTA V;Action;2013-08-17;Rockstar Games;17.5;17;files/gtaV.jpg;null;null;Game Award
Vivez le summum du football international féminin dans EA SPORTS™ FIFA 23 avec la FIFA Women’s World Cup Australie et Nouvelle-Zélande 2023™, disponible le 27 juin sans coût supplémentaire*. Défendez les couleurs de votre pays et vivez la compétition dans l'expérience EA SPORTS™ FIFA Women’s World Cup™ la plus immersive à ce jour, avec chacun des 32 pays qualifiés, des habillages de stades personnalisés, des cinématiques, des présentations de matchs, des commentaires dédiés et bien sûr, le vrai trophée à remporter.;FIFA;Sport;2023-08-22;Electronic Arts;9.7;12;files/fifa23.jpg;null;null;null
League of Legends est un MOBA, une arène de bataille en ligne multijoueur. Dans le mode classique, deux équipes de cinq joueurs s'affrontent dans des parties qui durent en moyenne entre 40 minutes et dont l'objectif est de détruire la base ennemie. Évoluant dans un univers heroic-fantasy, chaque joueur incarne un champion différent, aux capacités uniques, qu'il choisit à chaque début de partie. Des modes aléatoires sont également présents, ainsi que des événements saisonniers qui apportent un souffle de nouveauté.;League of Legends;Action;2009-10-27;Riot Games;15.4;7;files/league-of-legends.jpg;Arcane;null;null
Vous incarnez Geralt de Riv, un mercenaire et tueur de monstres. Devant vous s'étend un continent infesté de monstres et déchiré par la guerre, que vous pouvez explorer à votre guise. Votre contrat actuel ? Retrouver Ciri, l'enfant de la prophétie, une arme vivante capable de changer le monde;The Witcher;Aventure;2015-05-18;CD PROJEKT RED;18.4;-1;files/the_witcher.png;The Witcher;null;null
Des véhicules et circuits classiques à la réintroduction du légendaire mode simulation GT, Gran Turismo® 7 réunit les meilleurs éléments des épisodes passés de la série et les caractéristiques futures. Une expérience de conduite encore plus réaliste vous attend grâce au retour d'informations haptique, qui vous permet de voir ce que vous ressentez lorsque les pneus touchent la route.;Grand Turismo;Course;2022-03-04;Polyphony Digital;12.8;-1;files/gran_turismo.jpg;Grand Turismo;null;null
Incarnez Nathan Drake et Chloe Frazer dans leurs aventures indépendantes, où chacun devra confronter son passé et forger son héritage. Ce jeu contient les aventures solo acclamées par la critique UNCHARTED 4: A Thief's End et UNCHARTED: The Lost Legacy.;Uncharted;Aventure;2022-10-19;Iron Galaxy Studios;15.9;16;files/uncharted.jpg;Uncharted;null;null
Incarnez les personnages incontournables comme Ryu ou la légendaire Chun-Li, ou des nouveaux venus comme Luke, Jamie, Kimberly et bien d'autres dans ce nouvel opus ! Chaque personnage bénéficie d'un nouveau design unique et de cinématiques exaltantes pour leurs coups spéciaux !;Street Fighter;Combat;2023-06-02;CAPCOM Co., Ltd.;14.3;-1;files/Street-Fighter-6.jpg;null;null;null
Dans un monde dévasté où se mêlent infectés et survivants endurcis, Joel, un protagoniste désabusé, est engagé pour faire sortir Ellie, 14 ans, d'une zone de quarantaine militaire. Mais ce qui devait être une simple mission de routine se transforme vite en un dangereux périple à travers le pays.;The Last of Us;Aventure;2022-09-02;Naughty Dog, Sony;16.5;15;files/the_last_of_us.jpg;The Last of Us;null;null
Forgez votre légende dans un monde ravagé par la guerre, à la merci des dieux et des hommes. Embarquez pour un voyage initiatique qui vous fera passer de paria à légende vivante lors d'une odyssée durant laquelle vous découvrirez votre passé et changerez le destin de la Grèce.;Assassin's Creed;Aventure;2018-10-18;Ubisoft;15.8;15;files/assassins_creed.jpg;Assassin's Creed;null;null
Conçu à l'origine par le développeur de légende Sid Meier, Civilization est un jeu de stratégie au tour par tour qui vous met au défi de bâtir un empire capable de résister au passage du temps. Guidez votre civilisation de l'âge de pierre jusqu'à l'âge de l'information pour régner en maître sur la planète.;Civilization VI;Stratégie;2016-10-21;Firaxis,2k, 2K Games;17.3;-1;files/Civ6.jpg;null;null;null
Effectuez une grande variété de travaux agricoles allant de la culture des champs à la gestion du bétail en passant par les travaux forestiers.;Farming Simulator 2;Simulation;2021-11-22;Giants Software, Focus Entertainement;15;-1;files/farming22.jpg;null;null;null
Les Sims 4 est une simulation de vie qui permet au joueur de créer ses personnages et de les faire évoluer dans un univers qu'il customise lui-même. Ce nouvel épisode fait apparaître les émotions qui sont déterminantes dans le ressenti et l'évolution des sims. Celles-ci dépendent de leur environnement. Les sims peuvent désormais effectuer plusieurs tâches en même temps, contrairement aux autres épisodes.;Sims 4;Simulation;2014-09-04;Maxis, Electronic Arts;15;17;files/sims4.png;null;null;null
Portal 2, suite du premier opus du même nom, est un jeu de réflexion en vue FPS. Shell, l’héroïne, doit une fois de plus essayer de s'échapper du complexe d'Aperture Science en utilisant le Portal Gun, sorte de pistolet permettant de créer des portails. GlaDOS est de retour, mais on découvre aussi de nouveaux personnages comme Weathley. Un mode deux joueurs est également disponible.;Portal 2;Réflexion;2011-04-19;Valve, Electronic Arts;18.9;17.5;files/portal2.jpg;null;null;null
Mono est un jeune garçon prisonnier d’un monde déformé par les transmissions inquiétantes émises par une tour lointaine. Guidé par Six, Mono s’engage dans une aventure qui l’amènera à découvrir les sombres secrets de la tour. Oserez-vous faire face à ces nouveaux cauchemars?;Little Nightmare II;Réflexion;2021-02-11;Tarsier Studios, Bandai Namco;18.5;-1;files/little_nighmare.jpg;null;null;null
Pourchassez vos cauchemars ! Un voyageur solitaire. Une ville maudite. Un inquiétant mystère qui contamine tout ce qu'il touche. Affrontez vos peurs en pénétrant dans la ville en ruines de Yharnam, un lieu abandonné et dévasté par une terrible maladie. Arpentez les ténèbres, utilisez lames et armes à feu pour survivre, et découvrez des secrets qui vous glaceront le sang... pour peut-être mieux vous sauver la vie.;Bloodborne;Aventure;2015-03-25;FromSoftwareInc.;16.5;-1;files/bloodborne.jpg;null;null;Game Award
Bioshock sur PC est un jeu de tir à la première personne qui vous entraîne dans les profondeurs de l'océan atlantique pour explorer les ruines d'une gigantesque cité sous-marine ravagée par la folie de ses créateurs. Perdu au coeur de cette utopie transformée en abomination scientifique, il vous faudra lutter à l'aide de plasmides (sortes de modules qui modifient l'ADN pour acquérir de puissants pouvoirs) contre des habitants qui ont depuis longtemps renié leur humanité.;BioShock;Action;2007-08-31;2K Games;18.1;-1;files/bioshock.jpg;null;null;Game Award
Borderlands est un jeu de tir à la première personne mâtiné de jeu de rôle (expérience, spécialisations) qui vous entraîne sur une planète mystérieuse, aux allures de Far West futuriste. Il offre au joueur la possibilité de piloter des véhicules et de manipuler une grande variété d'armes afin de remplir de très nombreuses quêtes. Jouable en solo, Borderlands permet également à quatre participants de compléter l'aventure ensemble, en coopération.;Borderlands;Action;2009-10-23;Gearbox Software;17.5;-1;files/borderlands.jpg;Borderlands;null;Game Award
Incarnez un dresseur de Pokémon dans ce jeu incontournable. Un Pokémon est une petite créature possédant divers pouvoirs. Le but est de devenir maitre Pokémon. Entouré de vos amis, vous allez vivre de nombreuses aventures et combattre de puissants ennemis et maitre d’arènes.;Pokémon - Version Platine;Aventure;2008-09-13;Game Freak;17;15;files/pokemon.jpg;Plusieurs nominations;null;Pokémon
Ratchet, un Lombax, vit depuis toujours sur sa planète et rêve d'explorer le monde. Un jour, il rencontre Clank un robot qui s'écrase sur sa planète. Clank lui montre que la galaxie est menacée par les plans du despotique président Drek qui projette de détruire plusieurs planètes pour construire un monde artificiel. Face à cette menace, Ratchet et Clank décident d'avertir le célèbre capitaine Qwark, un super-héros connu dans la galaxie entière. Cependant, Ratchet réalise bientôt qu'il est le dernier espoir de la galaxie. Trahi, tiraillé entre son désir de vengeance et l'urgence de la situation, il va surmonter son égoïsme et devenir un héros.;Ratchet et Clank;Aventure;2002-11-08;Sony Entertainment;17.9;15;files/rec.jpg;Ratchet et Clank;null;Plusieurs Prix
« The Legend of Zelda: Tears of the Kingdom » se déroule dans un royaume enchanté appelé Hyrule, où la paix est menacée par une force maléfique. Link, le héros légendaire doit se lancer dans une quête épique pour retrouver les larmes sacrées dispersées à travers le royaume.;Zelda - Tears of the Kingdom;Aventure;2023-05-12;Nintendo;14.8;-1;files/zelda.png;null;null;null